Year,V_mur,M_mur
1970,10.34,9.18
1971,9.99,11.16
1972,11.62,12.47
1973,10.25,11.19
1974,10.49,11.64
1975,11.27,10.51
1976,9.27,8.44
1977,8.84,7.94
1978,8.55,8.03
1979,8.40,9.61
1980,8.55,9.44
1981,8.52,9.88
1982,7.37,10.09
1983,6.95,8.51
1984,7.69,8.11
1985,7.09,7.89
1986,7.07,8.94
1987,7.37,9.55
1988,7.75,9.64
1989,7.84,11.51
1990,8.81,11.55
1991,9.28,11.72
1992,8.84,12.16
1993,8.34,12.79
1994,8.74,11.61
1995,7.62,11.86
1996,7.50,11.63
1997,7.25,9.86
1998,6.22,10.00
1999,5.70,8.99
2000,5.67,8.12
2001,5.06,8.30
2002,5.33,9.44
2003,5.64,9.56
2004,5.23,9.41
2005,6.06,9.90
2006,5.22,9.75
2007,5.26,9.84
